brand_raw,model_raw,fuel_type_raw,normalized_brand,normalized_model,model_group,needs_mapping,first_seen_month,last_seen_month,registrations_last_month,registrations_ytd,registrations_12m,source_name,source_url
MINI,ACEMAN,EL,mini,aceman,,False,2026-03-01,2026-03-01,24,66,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
MINI,HATCH,EL,mini,hatch,,False,2026-03-01,2026-03-01,21,64,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
HYUNDAI,IONIQ 9,EL,hyundai,ioniq 9,,False,2026-03-01,2026-03-01,25,60,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
OPEL,CORSA,EL,opel,corsa,,False,2026-03-01,2026-03-01,17,59,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
HYUNDAI,IONIQ 5,EL,hyundai,ioniq 5,,False,2026-03-01,2026-03-01,23,57,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
NISSAN,MICRA,EL,nissan,micra,,False,2026-03-01,2026-03-01,3,55,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
NISSAN,ARIYA,EL,nissan,ariya,,False,2026-03-01,2026-03-01,11,45,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
KIA,PV5 PASSENGER,EL,kia,pv5 passenger,,False,2026-03-01,2026-03-01,15,43,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
FORD,PUMA,EL,ford,puma,,False,2026-03-01,2026-03-01,20,41,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
MERCEDES,EQS,EL,mercedes benz,eqs,,False,2026-03-01,2026-03-01,16,37,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
ZEEKR,001,EL,zeekr,001,,False,2026-03-01,2026-03-01,4,36,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
